index,phase,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,keff,keff_std,ppf,score
0,LLM,0.82,0.14,0.91,0.05,0.78,0.92,0.11,0.85,0.23,0.76,0.18,0.67,0.42,0.51,0.29,0.61,0.38,0.49,0.65,0.58,0.71,1.268555344030713,0.0019231459134061708,1.1038369308541338,-102.92776720153564
1,LLM,0.31,0.77,0.2,0.65,0.49,0.13,0.86,0.22,0.75,0.41,0.59,0.34,0.28,0.62,0.46,0.53,0.69,0.25,0.81,0.39,0.55,1.2734065246179436,0.0016003068898396717,1.1074930454730643,-73.17032623089717
2,LLM,0.8779138914030898,0.09073592777501271,0.8856303761439192,0.226546274547856,0.5584130019403062,0.8826862613732857,0.09860990153016294,0.7982034544370649,0.3451569622096789,0.6859945949567711,0.09079135693112735,0.7272938995000054,0.39909426575102713,0.5652171390650094,0.28606696918731267,0.7060850695348142,0.3231381595713364,0.5092457269035622,0.8123086658758084,0.5079221615115708,0.6760522484932471,1.2685553440307005,0.0019231459133822425,1.1038369308541338,-102.92776720153502
3,LLM,0.59,0.81,0.23,0.67,0.41,0.93,0.18,0.75,0.39,0.61,0.29,0.85,0.52,0.44,0.35,0.63,0.49,0.57,0.79,0.53,0.71,1.272067865262206,0.0017430267945643264,1.1166141901852675,-79.10339326311029
4,LLM,0.88,0.29,0.96,0.11,0.73,0.98,0.06,0.89,0.25,0.69,0.15,0.83,0.48,0.56,0.33,0.72,0.43,0.59,0.87,0.51,0.75,1.269736841693454,0.002011551770276301,1.1156838607738764,-84.9868420846727
5,LLM,0.7192472563951304,0.4424088502833928,0.9192455909548319,0.23520385919683226,0.5645537221524496,1.0,0.12559081932117247,0.731583911822793,0.1998678309781955,0.5436479505402929,0.10401668005159659,0.7363994737501092,0.4794818943618405,0.468863970869145,0.2959479145163563,0.6248306922992705,0.3545883270598344,0.6788000109657621,0.8570498831556179,0.5404786483908297,0.6320757742570652,1.2697368416934562,0.002011551770282597,1.1156838607738762,-84.98684208467282
6,LLM,0.82,0.14,0.91,0.05,0.73,0.28,0.41,0.85,0.19,0.67,0.52,0.76,0.23,0.98,0.11,0.65,0.39,0.87,0.46,0.29,0.94,1.274847096190067,0.001900969661944318,1.1149749535680225,-79.24235480950335
7,LLM,0.31,0.77,0.2,0.65,0.49,0.92,0.14,0.59,0.85,0.37,0.71,0.28,0.96,0.42,0.67,0.51,0.83,0.19,0.74,0.63,0.25,1.2710747422709914,0.002363736307089972,1.1224883870847486,-61.053737113549566
8,LLM,0.58,0.93,0.17,0.49,0.75,0.31,0.62,0.21,0.88,0.44,0.69,0.85,0.11,0.96,0.34,0.59,0.76,0.42,0.28,0.51,0.65,1.2729077765466392,0.0021007922858738578,1.098379098943317,-73.14538882733196
9,LLM,0.71,0.29,0.93,0.41,0.59,0.17,0.85,0.67,0.23,0.79,0.49,0.95,0.31,0.63,0.87,0.39,0.51,0.73,0.19,0.46,0.82,1.2716731705327748,0.0021758677151983465,1.1002849102540548,-79.08365852663874
10,LLM,0.46,0.85,0.29,0.67,0.53,0.91,0.18,0.75,0.39,0.62,0.93,0.21,0.58,0.85,0.49,0.71,0.33,0.59,0.79,0.44,0.96,1.2711432934699356,0.0018710279909010686,1.1206082455352948,-73.05716467349679
11,LLM,0.93,0.17,0.79,0.51,0.63,0.29,0.85,0.41,0.67,0.53,0.95,0.19,0.73,0.87,0.31,0.59,0.49,0.75,0.23,0.46,0.82,1.2723273058287154,0.001584149156267211,1.0994594464187954,-73.11636529143577
12,LLM,0.85,0.22,0.91,0.18,0.43,0.78,0.35,0.62,0.91,0.28,0.51,0.69,0.42,0.85,0.59,0.31,0.74,0.46,0.88,0.39,0.67,1.2703135546169486,0.0018397707733763286,1.1053316902612114,-97.01567773084743
13,LLM,0.39,0.81,0.49,0.26,0.73,0.18,0.64,0.35,0.92,0.51,0.29,0.76,0.43,0.59,0.85,0.68,0.22,0.41,0.95,0.34,0.58,1.2715603330969458,0.001534236309473837,1.1026168043388658,-91.07801665484729
14,LLM,0.71,0.19,0.83,0.46,0.61,0.29,0.53,0.79,0.94,0.38,0.65,0.52,0.27,0.72,0.49,0.44,0.85,0.31,0.96,0.42,0.69,1.2722694223212212,0.0019493344089112647,1.1056318053362248,-85.11347111606106
15,LLM,0.59,0.34,0.88,0.22,0.67,0.41,0.56,0.81,0.93,0.29,0.63,0.49,0.38,0.76,0.52,0.35,0.78,0.46,0.92,0.51,0.65,1.2735663068704255,0.002075219513576011,1.0997228020820367,-85.17831534352128
16,LLM,0.46,0.59,0.71,0.35,0.49,0.26,0.68,0.42,0.89,0.53,0.31,0.74,0.44,0.64,0.56,0.39,0.82,0.28,0.97,0.49,0.62,1.270288008540142,0.0017400389167267453,1.1059579625175735,-73.0144004270071
17,LLM,0.67,0.28,0.85,0.39,0.55,0.32,0.59,0.79,0.95,0.42,0.51,0.73,0.35,0.69,0.48,0.44,0.81,0.34,0.94,0.46,0.71,1.2692168735669922,0.0019356090703179418,1.1030134105386706,-84.9608436783496
18,LLM,0.85,0.31,0.92,0.19,0.67,0.88,0.41,0.59,0.85,0.22,0.76,0.51,0.35,0.93,0.11,0.74,0.28,0.96,0.46,0.63,0.82,1.2731231723122005,0.0016657099036064649,1.1051237414145427,-85.15615861561002
19,LLM,0.39,0.81,0.25,0.69,0.49,0.93,0.13,0.75,0.31,0.58,0.87,0.43,0.62,0.21,0.95,0.34,0.79,0.48,0.11,0.65,0.52,1.2741256563243826,0.0013777989282302136,1.1072623942121502,-67.20628281621913
20,LLM,0.91,0.17,0.84,0.37,0.61,0.99,0.29,0.53,0.79,0.45,0.93,0.19,0.71,0.23,0.87,0.51,0.67,0.85,0.39,0.59,0.75,1.2697082605652699,0.0018151540641549433,1.1059656982651782,-72.9854130282635
21,LLM,0.59,0.93,0.27,0.81,0.43,0.95,0.19,0.69,0.87,0.31,0.63,0.49,0.79,0.13,0.97,0.41,0.85,0.25,0.67,0.53,0.91,1.272138124507654,0.001763483565402998,1.1081075112979715,-67.1069062253827
22,LLM,0.9031651445609781,0.3505618472838574,0.9480124233625126,0.24367120292972372,0.7105095098422116,0.8211656926221845,0.5417575473407202,0.6188888651450614,0.7764596852748671,0.17922104593962293,0.8056756923725098,0.5119063283947191,0.48983654458458936,1.0,0.19072047166379982,0.6405230939984068,0.20339768596343455,0.9233855731171918,0.5493529452344836,0.7292321369910157,0.8393951600470095,1.2726570948369968,0.001633336026303917,1.1183261780842897,-85.13285474184984
23,LLM,0.95,0.23,0.89,0.49,0.67,0.99,0.39,0.81,0.93,0.17,0.75,0.59,0.51,0.29,0.87,0.43,0.85,0.27,0.69,0.63,0.79,1.2700261708002496,0.0018265394588849355,1.0994411776210429,-79.00130854001247
24,LLM,0.82,0.14,0.91,0.05,0.73,0.28,0.41,0.85,0.62,0.19,0.67,0.51,0.39,0.93,0.07,0.25,0.59,0.81,0.35,0.49,0.11,1.2715636661775578,0.0019617449278119207,1.0993349505851202,-79.07818330887788
25,LLM,0.31,0.77,0.2,0.65,0.58,0.44,0.92,0.13,0.76,0.29,0.53,0.86,0.04,0.68,0.41,0.95,0.22,0.49,0.71,0.16,0.83,1.2692671191016214,0.0018423113280361364,1.0990565179971852,-72.96335595508107
26,LLM,0.46,0.93,0.18,0.72,0.34,0.61,0.25,0.89,0.51,0.07,0.82,0.39,0.64,0.28,0.96,0.14,0.56,0.73,0.42,0.85,0.31,1.2720319716930402,0.001759389530777339,1.1157969856469852,-61.10159858465201
27,LLM,0.91,0.23,0.85,0.49,0.67,0.39,0.53,0.95,0.11,0.79,0.35,0.61,0.47,0.29,0.83,0.17,0.71,0.43,0.59,0.93,0.25,1.2756851737038295,0.0017719902259067646,1.1043733563563358,-79.28425868519147
28,LLM,0.67,0.51,0.93,0.14,0.82,0.28,0.41,0.65,0.19,0.73,0.07,0.59,0.85,0.31,0.49,0.83,0.22,0.95,0.44,0.71,0.56,1.272885843292071,0.0018199138349012118,1.1037544051126542,-85.14429216460356
